_,delta_1,delta_2,delta_3,Rel,RMSE,log10
depth maps,0.7041812213896306,0.907946006590553,0.9726884914140979,2.4035544,1.669874,0.0828431
people,0.7238485558157689,0.942896174863388,0.9678766588602654,0.1477977,0.98340183,0.0722839
vehicles,0.8991612616054399,0.9865483545235324,0.9981158602471637,0.10084817,1.0617385,0.045068175
