_,delta_1,delta_2,delta_3,Rel,RMSE,log10
depth maps,0.6909778342408902,0.9001975159420568,0.9738451561348607,2.352627,1.7036961,0.08451011
people,0.7482825917252147,0.8945745511319283,0.9840749414519907,0.16461773,1.0990162,0.08225789
vehicles,0.8717450119376413,0.9850062961826267,0.9969412657328927,0.11039751,1.1097807,0.050186433
